Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Epoch Time
1,2.930173232200298,8.883333333333333,2.608737844101926,18.033333333333335,28.98305583000183
2,2.1034532512756106,37.6,1.6897386971940385,52.1,28.411566019058228
3,1.2849201826339072,61.95,1.1139167509180434,67.2,28.388710021972656
4,0.8275237590708631,75.31666666666666,0.8710125710101838,73.4,28.446449995040894
5,0.6195848184697171,80.99166666666666,0.7754775475948414,76.06666666666666,29.240106344223022
6,0.5012787845223508,84.56666666666666,0.6915068987836229,78.5,28.32765507698059
7,0.40509566125717567,87.51666666666667,0.6637312091411428,79.6,28.434313535690308
8,0.3349547491587223,89.85833333333333,0.6346122356171303,80.63333333333334,28.422008752822876
9,0.281750942798371,91.53333333333333,0.616398792951665,81.4,29.323459148406982
10,0.23798077030384795,92.95833333333333,0.6364664073954237,81.33333333333333,28.98486328125
