Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Epoch Time
1,2.7267011061627815,6.533333333333333,2.722420727952998,6.166666666666667,13.212583780288696
2,2.7177072180078383,6.858333333333333,2.714425300029998,6.066666666666666,12.895841360092163
3,2.517842393606267,14.008333333333333,2.0722518880316554,26.366666666666667,12.751624345779419
4,1.854051242483423,33.0,1.7059896854644125,35.06666666666667,12.924867391586304
5,1.5069567294830972,44.4,1.3622926118526053,48.8,12.56500506401062
6,1.2157841746477371,55.45,1.1510330755659874,57.13333333333333,12.819487571716309
7,1.0051432489714724,63.34166666666667,1.0968187286498698,59.333333333333336,12.872699975967407
8,0.826782449762872,70.08333333333333,0.876848503630212,68.16666666666667,9.525715827941895
9,0.7303046631686231,73.8,0.8486852214691487,69.7,12.11332631111145
10,0.6061564807562118,78.08333333333333,0.8239435185777381,70.6,12.812333822250366
