Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Epoch Time
1,2.731607123892358,8.675,2.621859793967389,17.766666666666666,12.647557497024536
2,2.0502113179957613,39.516666666666666,1.5710147619247437,55.333333333333336,12.546549558639526
3,1.2047091443487938,64.35,1.0819529954423295,67.33333333333333,12.500223636627197
4,0.879656897104801,72.78333333333333,0.88015220139889,72.66666666666667,12.42249608039856
5,0.7166303486583081,77.41666666666667,0.7751122243860935,74.9,12.393858909606934
6,0.6183589514582715,80.53333333333333,0.6893946052865779,78.53333333333333,12.462438583374023
7,0.5296703713371399,83.35,0.6337711189655547,80.6,13.708714962005615
8,0.4596857864488947,85.8,0.6505512500062902,78.96666666666667,12.574485540390015
9,0.40525823062721716,87.36666666666666,0.5482544061985422,83.83333333333333,12.656195402145386
10,0.36643992554634175,88.66666666666667,0.5474965654789133,82.93333333333334,12.386454105377197
