Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Epoch Time
1,2.591465816852894,10.825,2.036529721097743,26.1,90.06076288223267
2,1.6037748240410012,39.93333333333333,1.1856918132051508,57.833333333333336,90.177814245224
3,0.9917901446844669,64.425,0.7943187470131732,71.9,90.19189667701721
4,0.6895890779634739,75.375,0.728662260669343,73.33333333333333,89.64180254936218
5,0.5158877493219173,81.78333333333333,0.6625553280749219,76.9,89.99372267723083
6,0.4084025865539591,85.675,0.48811881053955,83.06666666666666,89.40207505226135
7,0.3414756214206523,87.725,0.39418921540392204,86.36666666666666,90.27795338630676
8,0.27426043616488893,90.675,0.3466066106202755,88.46666666666667,89.36875486373901
9,0.2300256195458326,91.79166666666667,0.3642076916517095,88.1,89.19781446456909
10,0.19031138097907,93.44166666666666,0.30113817180724856,89.8,89.04301738739014
