Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Epoch Time
1,2.725292555829312,6.691666666666666,2.702415035126057,6.433333333333334,22.140926122665405
2,1.9728134680301586,30.141666666666666,1.4063744139164052,48.4,21.80522131919861
3,1.0870117199547746,60.35,0.8744649658811853,68.83333333333333,21.825599908828735
4,0.7746281362277396,72.075,0.6885399964261563,74.66666666666667,21.866154670715332
5,0.5765931395457146,79.34166666666667,0.519064373158394,81.86666666666666,21.814311742782593
6,0.4489707454563455,84.44166666666666,0.4576734402712355,83.46666666666667,21.844706773757935
7,0.36757943787156266,86.95,0.4880306562210651,82.5,22.586139917373657
8,0.30498744214468815,89.46666666666667,0.39123850553593736,87.06666666666666,21.857927083969116
9,0.25000246994672937,91.23333333333333,0.34403691393263797,87.36666666666666,21.926790475845337
10,0.22828353969182105,91.93333333333334,0.4793975315195449,83.53333333333333,21.848512887954712
